enonce,type,reponse,explication,difficulte,points,tempsLimite,categorie,choixA,choixB,choixC,choixD,mediaFile,audioFile,videoFile,videoUrl,videoDebut,videoFin
Quel est le titre de ce morceau ?,AUDIO,Plus rien ne m'étonne,« Plus rien ne m'étonne » de Tiken Jah Fakoly. Reggae engagé.,MOYEN,150,30,Musique,Dégaine,Plus rien ne m'étonne,Awoulaba,Faut pas Aragnan,,audio/tiken-jah-fakoly-plus-rien-ne-m-etonne.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Tiken Jah Fakoly,« Plus rien ne m'étonne » de Tiken Jah Fakoly. Reggae engagé.,MOYEN,150,30,Musique,Aïcha Koné,Tiken Jah Fakoly,Josey,Salif Keïta,,audio/tiken-jah-fakoly-plus-rien-ne-m-etonne.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,200% Zoblazo,« 200% Zoblazo » de Meiway. Hymne du zoblazo.,MOYEN,150,30,Musique,200% Zoblazo,Kpangor,Brindolê,Atalaku,,audio/meiway-200-zoblazo.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Meiway,« 200% Zoblazo » de Meiway. Hymne du zoblazo.,MOYEN,150,30,Musique,Magic System,Meiway,DJ Mix,Sidiki Diabaté,,audio/meiway-200-zoblazo.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Kababble,« Kababble » de Serge Beynaud. Tube coupé-décalé.,MOYEN,150,30,Musique,Adjamais,Madan,Bouger Bouger,Kababble,,audio/serge-beynaud-kababble.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Serge Beynaud,« Kababble » de Serge Beynaud. Tube coupé-décalé.,MOYEN,150,30,Musique,Serge Beynaud,Safarel Obiang,Fally Ipupa,Aïcha Koné,,audio/serge-beynaud-kababble.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Talahi,« Talahi » de Serge Beynaud. Succès dansant.,MOYEN,150,30,Musique,Talahi,Bouche bée,Faut pas Aragnan,Jérusalem,,audio/serge-beynaud-talahi.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Serge Beynaud,« Talahi » de Serge Beynaud. Succès dansant.,MOYEN,150,30,Musique,Monique Séka,Serge Beynaud,Bebi Philip,Josey,,audio/serge-beynaud-talahi.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Tu es mon ami,« Tu es mon ami » de Bebi Philip. Chanson populaire.,MOYEN,150,30,Musique,Tu es mon ami,Atalaku,Fall,Mariam,,audio/bebi-philip-tu-es-mon-ami.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Bebi Philip,« Tu es mon ami » de Bebi Philip. Chanson populaire.,MOYEN,150,30,Musique,Bebi Philip,Aïcha Koné,Sidiki Diabaté,Fally Ipupa,,audio/bebi-philip-tu-es-mon-ami.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,La vie est belle,« La vie est belle » de Kerozen. Tube de la résilience.,MOYEN,150,30,Musique,Spécialiste,Père Noël,Magic in the Air,La vie est belle,,audio/kerozen-la-vie-est-belle.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Kerozen,« La vie est belle » de Kerozen. Tube de la résilience.,MOYEN,150,30,Musique,Salif Keïta,DJ Mix,Kerozen,Sexion d'Assaut,,audio/kerozen-la-vie-est-belle.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Diplôme,« Diplôme » de Josey. Ballade ivoirienne.,MOYEN,150,30,Musique,Miss Lolo,Gaou,La vie est belle,Diplôme,,audio/josey-diplome.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Josey,« Diplôme » de Josey. Ballade ivoirienne.,MOYEN,150,30,Musique,Wizkid,Meiway,Josey,Magic System,,audio/josey-diplome.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Brindolê,« Brindolê » de Yodé & Siro. Zouglou.,DIFFICILE,200,30,Musique,Magic in the Air,Brindolê,Mon Africain,Espérance,,audio/yode-siro-brindole.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Yodé & Siro,« Brindolê » de Yodé & Siro. Zouglou.,DIFFICILE,200,30,Musique,DJ Mix,Monique Séka,Yodé & Siro,Espoir 2000,,audio/yode-siro-brindole.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Gloire à Dieu,« Gloire à Dieu » de Espoir 2000. Zouglou populaire.,DIFFICILE,200,30,Musique,Victoire,Gloire à Dieu,Ban Galant,Original,,audio/espoir-2000-gloire-a-dieu.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Espoir 2000,« Gloire à Dieu » de Espoir 2000. Zouglou populaire.,DIFFICILE,200,30,Musique,Roseline Layo,Magic System,Espoir 2000,Didi B,,audio/espoir-2000-gloire-a-dieu.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Okaman,« Okaman » de Monique Séka. Afro-zouk.,DIFFICILE,200,30,Musique,Okaman,Le pays va mal,Awoulaba,Plus fort,,audio/monique-seka-okaman.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Monique Séka,« Okaman » de Monique Séka. Afro-zouk.,DIFFICILE,200,30,Musique,Douk Saga,Sidiki Diabaté,Yodé & Siro,Monique Séka,,audio/monique-seka-okaman.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Mariam,« Mariam » de Aïcha Koné. Classique mandingue.,DIFFICILE,200,30,Musique,Décibel,Françafrique,Mariam,Kababble,,audio/aicha-kone-mariam.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Aïcha Koné,« Mariam » de Aïcha Koné. Classique mandingue.,DIFFICILE,200,30,Musique,Aïcha Koné,Serge Beynaud,Vetcho Lolas,Angélique Kidjo,,audio/aicha-kone-mariam.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Spécialiste,« Spécialiste » de Debordo Leekunfa. Coupé-décalé.,DIFFICILE,200,30,Musique,Spécialiste,Mon Africain,Brigadier Sabari,Atalaku,,audio/debordo-leekunfa-specialiste.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Debordo Leekunfa,« Spécialiste » de Debordo Leekunfa. Coupé-décalé.,DIFFICILE,200,30,Musique,Tiken Jah Fakoly,Josey,Debordo Leekunfa,Petit Denis,,audio/debordo-leekunfa-specialiste.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Daishi,« Daishi » de Didi B. Rap ivoirien.,MOYEN,150,30,Musique,Original,Personne,Daishi,Espérance,,audio/didi-b-daishi.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Didi B,« Daishi » de Didi B. Rap ivoirien.,MOYEN,150,30,Musique,Angélique Kidjo,Didi B,Salif Keïta,Lewis Camara,,audio/didi-b-daishi.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Bouche bée,« Bouche bée » de Suspect 95. Rap ivoirien.,DIFFICILE,200,30,Musique,Personne,Diplôme,Père Noël,Bouche bée,,audio/suspect-95-bouche-bee.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Suspect 95,« Bouche bée » de Suspect 95. Rap ivoirien.,DIFFICILE,200,30,Musique,Suspect 95,Serge Beynaud,Fally Ipupa,Oumou Sangaré,,audio/suspect-95-bouche-bee.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Mon Africain,« Mon Africain » de Roseline Layo. Tube récent.,MOYEN,150,30,Musique,Gaou,Mon Africain,Agolo,Mariam,,audio/roseline-layo-mon-africain.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Roseline Layo,« Mon Africain » de Roseline Layo. Tube récent.,MOYEN,150,30,Musique,Josey,Suspect 95,Roseline Layo,Sidiki Diabaté,,audio/roseline-layo-mon-africain.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Amena,« Amena » de Ariel Sheney. Coupé-décalé.,DIFFICILE,200,30,Musique,Kpangor,Amena,Bouger Bouger,Idolâtre,,audio/ariel-sheney-amena.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Ariel Sheney,« Amena » de Ariel Sheney. Coupé-décalé.,DIFFICILE,200,30,Musique,Alpha Blondy,Aïcha Koné,Ariel Sheney,Salif Keïta,,audio/ariel-sheney-amena.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Jusqu'à la gare,« Jusqu'à la gare » de Kiff No Beat. Groupe de rap.,DIFFICILE,200,30,Musique,Cocody Rock,Jusqu'à la gare,Miss Lolo,Sweet Fanta Diallo,,audio/kiff-no-beat-jusqu-a-la-gare.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Kiff No Beat,« Jusqu'à la gare » de Kiff No Beat. Groupe de rap.,DIFFICILE,200,30,Musique,Kiff No Beat,Ariel Sheney,Davido,Vetcho Lolas,,audio/kiff-no-beat-jusqu-a-la-gare.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Ban Galant,« Ban Galant » de Safarel Obiang. Coupé-décalé.,DIFFICILE,200,30,Musique,Kababble,Ban Galant,Idolâtre,Diplôme,,audio/safarel-obiang-ban-galant.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Safarel Obiang,« Ban Galant » de Safarel Obiang. Coupé-décalé.,DIFFICILE,200,30,Musique,Côte d'Ivoire,Safarel Obiang,Sexion d'Assaut,DJ Mix,,audio/safarel-obiang-ban-galant.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Faut pas Aragnan,« Faut pas Aragnan » de Vetcho Lolas. Coupé-décalé.,DIFFICILE,200,30,Musique,Faut pas Aragnan,Agolo,Mon Africain,Diaraby Nene,,audio/vetcho-lolas-faut-pas-aragnan.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Vetcho Lolas,« Faut pas Aragnan » de Vetcho Lolas. Coupé-décalé.,DIFFICILE,200,30,Musique,Wizkid,Vetcho Lolas,Burna Boy,Douk Saga,,audio/vetcho-lolas-faut-pas-aragnan.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Magic in the Air,« Magic in the Air » de Magic System. Hymne festif repris dans les stades.,FACILE,100,30,Musique,Fais-moi confiance,Bouger Bouger,Personne,Magic in the Air,,audio/magic-system-magic-in-the-air.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Magic System,« Magic in the Air » de Magic System. Hymne festif repris dans les stades.,FACILE,100,30,Musique,Magic System,Davido,Monique Séka,Sexion d'Assaut,,audio/magic-system-magic-in-the-air.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Bouger Bouger,« Bouger Bouger » de Magic System. Tube dansant avec Khaled.,MOYEN,150,30,Musique,Bouger Bouger,Essence,Last Last,Daishi,,audio/magic-system-bouger-bouger.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Magic System,« Bouger Bouger » de Magic System. Tube dansant avec Khaled.,MOYEN,150,30,Musique,Fally Ipupa,Youssou N'Dour,Bebi Philip,Magic System,,audio/magic-system-bouger-bouger.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Dégaine,« Dégaine » de DJ Arafat. Coupé-décalé.,MOYEN,150,30,Musique,Ban Galant,Diaraby Nene,Loi,Dégaine,,audio/dj-arafat-degaine.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,DJ Arafat,« Dégaine » de DJ Arafat. Coupé-décalé.,MOYEN,150,30,Musique,DJ Arafat,Sexion d'Assaut,Bebi Philip,Alpha Blondy,,audio/dj-arafat-degaine.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Moto Moto,« Moto Moto » de DJ Arafat. Succès du Daishikan.,MOYEN,150,30,Musique,Daishi,Bouche A,Moto Moto,Faut pas Aragnan,,audio/dj-arafat-moto-moto.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,DJ Arafat,« Moto Moto » de DJ Arafat. Succès du Daishikan.,MOYEN,150,30,Musique,Didi B,Kerozen,DJ Arafat,Molare,,audio/dj-arafat-moto-moto.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Yorobo,« Yorobo » de DJ Arafat. L'un de ses surnoms et titres.,MOYEN,150,30,Musique,Yorobo,Bouche bée,Brigadier Sabari,Ban Galant,,audio/dj-arafat-yorobo.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,DJ Arafat,« Yorobo » de DJ Arafat. L'un de ses surnoms et titres.,MOYEN,150,30,Musique,Angélique Kidjo,Espoir 2000,DJ Arafat,Kerozen,,audio/dj-arafat-yorobo.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Adjamais,« Adjamais » de Serge Beynaud. Coupé-décalé.,MOYEN,150,30,Musique,Affaire d'État,Agolo,Espérance,Adjamais,,audio/serge-beynaud-adjamais.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Serge Beynaud,« Adjamais » de Serge Beynaud. Coupé-décalé.,MOYEN,150,30,Musique,Kerozen,Tiken Jah Fakoly,Aïcha Koné,Serge Beynaud,,audio/serge-beynaud-adjamais.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Yababy,« Yababy » de Serge Beynaud. Coupé-décalé.,DIFFICILE,200,30,Musique,Daishi,Mon Africain,On a tout compris,Yababy,,audio/serge-beynaud-yababy.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Serge Beynaud,« Yababy » de Serge Beynaud. Coupé-décalé.,DIFFICILE,200,30,Musique,Ariel Sheney,Serge Beynaud,Molare,Aïcha Koné,,audio/serge-beynaud-yababy.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Personne,« Personne » de Bebi Philip. Chanson populaire.,DIFFICILE,200,30,Musique,Bouche A,Daishi,Personne,La vie est belle,,audio/bebi-philip-personne.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Bebi Philip,« Personne » de Bebi Philip. Chanson populaire.,DIFFICILE,200,30,Musique,Bebi Philip,Fally Ipupa,Burna Boy,Monique Séka,,audio/bebi-philip-personne.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Décibel,« Décibel » de Kerozen. Tube ivoirien.,DIFFICILE,200,30,Musique,Essence,Décibel,Miss Lolo,Madan,,audio/kerozen-decibel.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Kerozen,« Décibel » de Kerozen. Tube ivoirien.,DIFFICILE,200,30,Musique,Tiken Jah Fakoly,Kerozen,Youssou N'Dour,Debordo Leekunfa,,audio/kerozen-decibel.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Victoire,« Victoire » de Kerozen. Chanson gospel urbaine.,MOYEN,150,30,Musique,Mariam,Bouche bée,Sagacité,Victoire,,audio/kerozen-victoire.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Kerozen,« Victoire » de Kerozen. Chanson gospel urbaine.,MOYEN,150,30,Musique,Kerozen,Serge Beynaud,Fally Ipupa,Sidiki Diabaté,,audio/kerozen-victoire.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Espérance,« Espérance » de Josey. Ballade.,DIFFICILE,200,30,Musique,Fais-moi confiance,200% Zoblazo,Jonathan,Espérance,,audio/josey-esperance.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Josey,« Espérance » de Josey. Ballade.,DIFFICILE,200,30,Musique,DJ Mix,Burna Boy,Josey,Alpha Blondy,,audio/josey-esperance.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Idolâtre,« Idolâtre » de Josey. Chanson sentimentale.,DIFFICILE,200,30,Musique,200% Zoblazo,Brindolê,Sagacité,Idolâtre,,audio/josey-idolatre.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Josey,« Idolâtre » de Josey. Chanson sentimentale.,DIFFICILE,200,30,Musique,Josey,Sexion d'Assaut,Aïcha Koné,Angélique Kidjo,,audio/josey-idolatre.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Françafrique,« Françafrique » de Tiken Jah Fakoly. Reggae engagé.,DIFFICILE,200,30,Musique,Sweet Fanta Diallo,Jérusalem,Bouger Bouger,Françafrique,,audio/tiken-jah-fakoly-francafrique.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Tiken Jah Fakoly,« Françafrique » de Tiken Jah Fakoly. Reggae engagé.,DIFFICILE,200,30,Musique,Tiken Jah Fakoly,DJ Mix,Magic System,Ariel Sheney,,audio/tiken-jah-fakoly-francafrique.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Le pays va mal,« Le pays va mal » de Tiken Jah Fakoly. Reggae engagé.,MOYEN,150,30,Musique,Père Noël,Le pays va mal,Bobaraba,Tu es mon ami,,audio/tiken-jah-fakoly-le-pays-va-mal.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Tiken Jah Fakoly,« Le pays va mal » de Tiken Jah Fakoly. Reggae engagé.,MOYEN,150,30,Musique,Serge Beynaud,Fior 2 Bior,DJ Mix,Tiken Jah Fakoly,,audio/tiken-jah-fakoly-le-pays-va-mal.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Jérusalem,« Jérusalem » de Alpha Blondy. Reggae.,MOYEN,150,30,Musique,Désolé,Adjamais,Jérusalem,On a tout compris,,audio/alpha-blondy-jerusalem.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Alpha Blondy,« Jérusalem » de Alpha Blondy. Reggae.,MOYEN,150,30,Musique,Côte d'Ivoire,Alpha Blondy,DJ Mix,Sidiki Diabaté,,audio/alpha-blondy-jerusalem.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Sweet Fanta Diallo,« Sweet Fanta Diallo » de Alpha Blondy. Reggae.,DIFFICILE,200,30,Musique,Sweet Fanta Diallo,Amena,Gaou,Kababble,,audio/alpha-blondy-sweet-fanta-diallo.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Alpha Blondy,« Sweet Fanta Diallo » de Alpha Blondy. Reggae.,DIFFICILE,200,30,Musique,Douk Saga,Meiway,Fally Ipupa,Alpha Blondy,,audio/alpha-blondy-sweet-fanta-diallo.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Miss Lolo,« Miss Lolo » de Meiway. Zoblazo.,DIFFICILE,200,30,Musique,Fais-moi confiance,Sweet Fanta Diallo,Miss Lolo,Moto Moto,,audio/meiway-miss-lolo.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Meiway,« Miss Lolo » de Meiway. Zoblazo.,DIFFICILE,200,30,Musique,Lewis Camara,Meiway,Angélique Kidjo,DJ Mix,,audio/meiway-miss-lolo.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,On a tout compris,« On a tout compris » de Yodé & Siro. Zouglou engagé.,DIFFICILE,200,30,Musique,Talahi,Adjamais,Plus rien ne m'étonne,On a tout compris,,audio/yode-siro-on-a-tout-compris.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Yodé & Siro,« On a tout compris » de Yodé & Siro. Zouglou engagé.,DIFFICILE,200,30,Musique,Yodé & Siro,Youssou N'Dour,Burna Boy,Koffi Olomidé,,audio/yode-siro-on-a-tout-compris.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Bouche A,« Bouche A » de Espoir 2000. Zouglou.,DIFFICILE,200,30,Musique,Daishi,Jonathan,Victoire,Bouche A,,audio/espoir-2000-bouche-a.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Espoir 2000,« Bouche A » de Espoir 2000. Zouglou.,DIFFICILE,200,30,Musique,Oumou Sangaré,DJ Mix,Espoir 2000,Koffi Olomidé,,audio/espoir-2000-bouche-a.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Père Noël,« Père Noël » de Didi B. Rap ivoirien.,DIFFICILE,200,30,Musique,Tu es mon ami,Père Noël,La Jet Set,Dégaine,,audio/didi-b-pere-noel.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Didi B,« Père Noël » de Didi B. Rap ivoirien.,DIFFICILE,200,30,Musique,Didi B,Burna Boy,Ariel Sheney,Meiway,,audio/didi-b-pere-noel.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Année blanche,« Année blanche » de Suspect 95. Rap ivoirien.,DIFFICILE,200,30,Musique,Faut pas Aragnan,Gaou,Tu es mon ami,Année blanche,,audio/suspect-95-annee-blanche.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Suspect 95,« Année blanche » de Suspect 95. Rap ivoirien.,DIFFICILE,200,30,Musique,Salif Keïta,Suspect 95,Monique Séka,Wizkid,,audio/suspect-95-annee-blanche.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Awoulaba,« Awoulaba » de Roseline Layo. Tube ivoirien.,MOYEN,150,30,Musique,Décibel,Brigadier Sabari,Mariam,Awoulaba,,audio/roseline-layo-awoulaba.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Roseline Layo,« Awoulaba » de Roseline Layo. Tube ivoirien.,MOYEN,150,30,Musique,Suspect 95,Didi B,Espoir 2000,Roseline Layo,,audio/roseline-layo-awoulaba.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Affaire d'État,« Affaire d'État » de Fior 2 Bior. Zouglou.,DIFFICILE,200,30,Musique,7 Seconds,Faut pas Aragnan,Bouche A,Affaire d'État,,audio/fior-2-bior-affaire-d-etat.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Fior 2 Bior,« Affaire d'État » de Fior 2 Bior. Zouglou.,DIFFICILE,200,30,Musique,Fior 2 Bior,Salif Keïta,Angélique Kidjo,Petit Denis,,audio/fior-2-bior-affaire-d-etat.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Bobaraba,« Bobaraba » de Petit Denis. Coupé-décalé culte.,DIFFICILE,200,30,Musique,Idolâtre,Bobaraba,Amena,Mariam,,audio/petit-denis-bobaraba.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Petit Denis,« Bobaraba » de Petit Denis. Coupé-décalé culte.,DIFFICILE,200,30,Musique,DJ Mix,Petit Denis,Youssou N'Dour,Safarel Obiang,,audio/petit-denis-bobaraba.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Atalaku,« Atalaku » de DJ Mix. Coupé-décalé.,DIFFICILE,200,30,Musique,Atalaku,Bouche A,Plus rien ne m'étonne,Fall,,audio/dj-mix-atalaku.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,DJ Mix,« Atalaku » de DJ Mix. Coupé-décalé.,DIFFICILE,200,30,Musique,DJ Mix,Monique Séka,Meiway,Tiken Jah Fakoly,,audio/dj-mix-atalaku.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,La Jet Set,« La Jet Set » de Molare. Pionnier du coupé-décalé.,DIFFICILE,200,30,Musique,Faut pas Aragnan,La Jet Set,Last Last,Moto Moto,,audio/molare-la-jet-set.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Molare,« La Jet Set » de Molare. Pionnier du coupé-décalé.,DIFFICILE,200,30,Musique,Angélique Kidjo,Roseline Layo,Molare,Espoir 2000,,audio/molare-la-jet-set.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Sagacité,« Sagacité » de Douk Saga. Père du coupé-décalé.,DIFFICILE,200,30,Musique,Sagacité,Françafrique,Okaman,Daishi,,audio/douk-saga-sagacite.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Douk Saga,« Sagacité » de Douk Saga. Père du coupé-décalé.,DIFFICILE,200,30,Musique,Meiway,Oumou Sangaré,Magic System,Douk Saga,,audio/douk-saga-sagacite.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Plus fort,« Plus fort » de Lewis Camara. Coupé-décalé.,DIFFICILE,200,30,Musique,Françafrique,Plus fort,Jérusalem,Fais-moi confiance,,audio/lewis-camara-plus-fort.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Lewis Camara,« Plus fort » de Lewis Camara. Coupé-décalé.,DIFFICILE,200,30,Musique,Vetcho Lolas,Fior 2 Bior,Lewis Camara,Petit Denis,,audio/lewis-camara-plus-fort.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,L'Abidjanaise,« L'Abidjanaise » de Côte d'Ivoire. Hymne national ivoirien depuis 1960.,MOYEN,150,30,Musique,Jusqu'à la gare,Madan,Père Noël,L'Abidjanaise,,audio/cote-d-ivoire-l-abidjanaise.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Côte d'Ivoire,« L'Abidjanaise » de Côte d'Ivoire. Hymne national ivoirien depuis 1960.,MOYEN,150,30,Musique,Yodé & Siro,Douk Saga,Meiway,Côte d'Ivoire,,audio/cote-d-ivoire-l-abidjanaise.mp3,,,,
Quel instrument entend-on ?,AUDIO,Le djembé,Tambour ouest-africain en forme de calice.,FACILE,100,30,Musique,Le tabala,Le ngoni,Le djembé,La sanza,,audio/instrument-le-djembe.mp3,,,,
Quel instrument entend-on ?,AUDIO,Le balafon,Xylophone à lames de bois et calebasses.,MOYEN,150,30,Musique,Le tam-tam,Le ngoni,Le djembé,Le balafon,,audio/instrument-le-balafon.mp3,,,,
Quel instrument entend-on ?,AUDIO,La kora,Harpe-luth mandingue à 21 cordes.,MOYEN,150,30,Musique,Le ngoni,La kora,Le balafon,Le djembé,,audio/instrument-la-kora.mp3,,,,
